区域,名称,景点id,类型,级别,热度,经纬度
加泰罗尼亚·巴塞罗那,哥伦布纪念碑,1956941014,文化古迹,,热度 0.,"2.17776,41.375786"
奈良县·奈良,东大寺,3077454501,文化古迹,,热度 0.,"135.8401,34.6949"
维罗纳,朱丽叶故居,3929561305,文化古迹,,热度 0.,"11.03,45.74"
江苏·无锡·江阴市,江阴市悟空寺,2372281138,文化古迹,,热度 0.,"120.310853,31.764426"
山东·淄博·沂源县,牛郎织女景区,3508109056,文化古迹,4A景区,热度 0.,"118.267034,36.110605"
河北·承德·双桥区,天下第一城隍庙景区,3436744947,文化古迹,,热度 0.,"117.931614,40.992715"
湖南·湘西·凤凰县,西门峡漂流,3933796552,文化古迹,,热度 0.,"109.62073,28.115699"
辽宁·抚顺·顺城区,战神大本营,1016574078,文化古迹,,热度 0.,"123.797111,41.940953"
四川·南充·仪陇县,朱德故里,831454968,文化古迹,5A景区,热度 0.,"106.615478,31.465564"
巴厘岛,乌布,1494371130,文化古迹,,热度 0.,"115.265816,-8.485774"
大阪府·大阪,大阪城天守阁,3131724009,文化古迹,,热度 0.,"135.525844,34.687394"
浙江·金华·东阳市,卢宅,1165741731,文化古迹,,热度 0.,"120.253869,29.268303"
辽宁·大连·旅顺口区,日俄监狱旧址,1901253010,文化古迹,4A景区,热度 0.,"121.271863,38.831197"
四川·成都·龙泉驿,洛带古镇,3007638726,文化古迹,4A景区,热度 0.,"104.328977,30.640483"
京都府·京都,东福寺,1437421155,文化古迹,,热度 1.,"135.774281,34.976716"
湖北·咸宁·咸安区,刘家桥,2143743388,文化古迹,,热度 0.,"114.4121469014,29.705742029382"
清迈府·清迈,契迪龙寺,2140394062,文化古迹,,热度 1.,"98.9800482349113,18.780838466786186"
广岛,宫岛,637811288,文化古迹,,热度 0.,"132.329281,34.305984"
北荷兰省·阿姆斯特丹,安妮·弗兰克故居,3658517399,文化古迹,,热度 1.,"4.676406,52.506435"
新疆·吐鲁番·吐鲁番市,高昌故城,1817796347,文化古迹,,热度 0.,"89.53855,42.863632"
湖南·湘西·凤凰古城,杨家祠堂,1666356607,文化古迹,,热度 0.,"109.611197,27.954093"
浙江·舟山·普陀山,普济寺,1182409695,文化古迹,,热度 0.,"122.37957,29.994925"
浙江·杭州·天目山,禅源寺,3823811619,文化古迹,,热度 0.,"119.45439,30.326002"
江苏·苏州·周庄,全福讲寺,3966604777,文化古迹,,热度 0.,"120.846313,31.119676"
四川·乐山·峨眉山,清音阁,3146986237,文化古迹,,热度 0.,"103.777105,29.581011"
北京·北京·神堂峪,怀柔古长城,6043827,文化古迹,,热度 0.,"116.0258217991,40.368945051798"
江苏·苏州·周庄,富安桥,2727221417,文化古迹,,热度 0.,"120.85685,31.119269"
普吉岛,普吉镇,1464708068,文化古迹,,热度 1.,"98.399152,7.894159"
暹粒省·吴哥·吴哥城,斗象台,428528889,文化古迹,,热度 0.,"103.858775,13.446237"
加泰罗尼亚·巴塞罗那,哥伦布纪念碑,1956941014,文化古迹,,热度 0.,"2.17776,41.375786"
奈良县·奈良,东大寺,3077454501,文化古迹,,热度 0.,"135.8401,34.6949"
维罗纳,朱丽叶故居,3929561305,文化古迹,,热度 0.,"11.03,45.74"
浙江·温州·永嘉县,苍坡村,1943227894,文化古迹,,热度 0.,"120.756624,28.366257"
福建·厦门·思明区,曾厝垵,571403139,文化古迹,,热度 0.,"118.131359,24.436317"
西藏·山南·加查县,加查碉楼,585396808,文化古迹,,热度 0.,"91.78219398086155,29.23125670255576"
福建·厦门·湖里区,归来园,4036497084,文化古迹,,热度 0.,"118.11283,24.538101"
广东·江门·香江温泉度假村,开平碉庄,2243863360,文化古迹,,热度 0.,"112.623449,22.15024"
河北·承德·双桥区,天下第一城隍庙景区,3436744947,文化古迹,,热度 0.,"117.931614,40.992715"
湖南·湘西·凤凰县,西门峡漂流,3933796552,文化古迹,,热度 0.,"109.62073,28.115699"
巴厘岛,乌布,1494371130,文化古迹,,热度 0.,"115.265816,-8.485774"
大阪府·大阪,大阪城天守阁,3131724009,文化古迹,,热度 0.,"135.525844,34.687394"
浙江·金华·东阳市,卢宅,1165741731,文化古迹,,热度 0.,"120.253869,29.268303"
四川·乐山·峨眉山,清音阁,3146986237,文化古迹,,热度 0.,"103.777105,29.581011"
北京·北京·神堂峪,怀柔古长城,6043827,文化古迹,,热度 0.,"116.0258217991,40.368945051798"
江苏·苏州·周庄,全福讲寺,3966604777,文化古迹,,热度 0.,"120.846313,31.119676"
浙江·舟山·普陀山,普济寺,1182409695,文化古迹,,热度 0.,"122.37957,29.994925"
浙江·杭州·天目山,禅源寺,3823811619,文化古迹,,热度 0.,"119.45439,30.326002"
新疆·吐鲁番·吐鲁番市,高昌故城,1817796347,文化古迹,,热度 0.,"89.53855,42.863632"
湖南·湘西·凤凰古城,杨家祠堂,1666356607,文化古迹,,热度 0.,"109.611197,27.954093"
福建·厦门·湖里区,归来园,4036497084,文化古迹,,热度 0.,"118.11283,24.538101"
广东·江门·香江温泉度假村,开平碉庄,2243863360,文化古迹,,热度 0.,"112.623449,22.15024"
北荷兰省·阿姆斯特丹,梵高美术馆,816746158,文化古迹,,热度 0.,"4.88107,52.358413"
广东·江门·恩平市,恩平举人村,2081345034,文化古迹,,热度 0.,"112.379626,22.245679"
江苏·扬州·馥园,馥园千秋粉黛,3586024430,文化古迹,,热度 0.,"119.452806,32.403422"
四川·南充·仪陇县,朱德故里,831454968,文化古迹,5A景区,热度 0.,"106.615478,31.465564"
四川·阿坝藏族羌族自治州·金川县,金川观音桥,897395106,文化古迹,4A景区,热度 0.,"101.660988,31.803578"
四川·甘孜州·稻城亚丁,冲古寺,1966685717,文化古迹,,热度 0.,"100.346262,28.461075"
四川·乐山·乐山大佛,乌尤寺,1925447525,文化古迹,,热度 0.,"103.779368,29.541195"
广东·深圳·东部华侨城已下线子景点,大华兴寺,2623260770,文化古迹,,热度 0.,"114.293784,22.629795"
安徽·亳州·曹氏宗族墓群,曹腾墓,3583219570,文化古迹,,热度 0.,"115.793377,33.869497"
夏威夷·火奴鲁鲁,伊奥拉尼宫,1659381490,文化古迹,,热度 0.,"-157.858819,21.306808"
江苏·扬州·馥园,馥园千秋粉黛,3586024430,文化古迹,,热度 0.,"119.452806,32.403422"
浙江·嘉兴·盐官观潮景区,金庸书院,2304191143,文化古迹,,热度 0.,"120.553221,30.408249"
江苏·苏州·周庄,迷楼,826614256,文化古迹,,热度 0.,"120.854453,31.117633"
浙江·宁波·慈城古镇,冯岳彩绘台门,2649232034,文化古迹,,热度 0.,"121.461263,29.992354"
广西·柳州·柳城县,柳城崖山,2018507083,文化古迹,,热度 0.,"109.181605,24.671635"
湖南·湘西·花垣,湘西边城风情小镇,898135336,文化古迹,,热度 0.,"109.290664,28.506996"
云南·楚雄·楚雄市,彝人古镇,895302075,文化古迹,4A景区,热度 0.,"101.522677,25.058938"
南岛·达尼丁,拉纳克城堡,2347241481,文化古迹,,热度 0.,"170.624832,-45.85463"
库萨达斯·以弗所,以弗所古城,1913245098,文化古迹,,热度 0.,"37.943487,27.34147"
芽庄,隆山寺,2162223658,文化古迹,,热度 0.,"109.181256,12.251547"
马六甲,宝山亭,662220233,文化古迹,,热度 0.,"102.257365,2.198581"
清迈府·清迈,悟孟寺,3364184172,文化古迹,,热度 0.,"98.951365,18.783792"
兵库县·神户,姬路城,1583371571,文化古迹,,热度 0.,"134.693278,34.842532"
京都府·京都府,地主神社,898727805,文化古迹,,热度 0.,"135.78502,34.99516"
爱知县·名古屋,名古屋城,1686185571,文化古迹,,热度 0.,"136.9003,35.183765"
巴厘岛,卡威山,2458763685,文化古迹,,热度 0.,"121.02168,14.142167"
波尔多,佩贝朗塔,3254580292,文化古迹,,热度 0.,"-0.5771172011,44.8374691802"
京都府·京都,三年坂二年坂,3133640434,文化古迹,,热度 0.,"135.780838,34.996281"
京都府·京都,青莲院,27023449,文化古迹,,热度 0.,"135.783157,35.007309"
加尔省·加尔省,加尔桥,4008191553,文化古迹,,热度 0.,"4.53499,43.947968"
利古里亚·五渔村,马纳罗拉,4094014013,文化古迹,,热度 0.,"9.729604,44.107918"
浙江·温州·永嘉县,苍坡村,1943227894,文化古迹,,热度 0.,"120.756624,28.366257"
福建·厦门·思明区,曾厝垵,571403139,文化古迹,,热度 0.,"118.131359,24.436317"
波尔多,佩贝朗塔,3254580292,文化古迹,,热度 0.,"-0.5771172011,44.8374691802"
京都府·京都,三年坂二年坂,3133640434,文化古迹,,热度 0.,"135.780838,34.996281"
京都府·京都,青莲院,27023449,文化古迹,,热度 0.,"135.783157,35.007309"
库萨达斯·以弗所,以弗所古城,1913245098,文化古迹,,热度 0.,"37.943487,27.34147"
芽庄,隆山寺,2162223658,文化古迹,,热度 0.,"109.181256,12.251547"
马六甲,宝山亭,662220233,文化古迹,,热度 0.,"102.257365,2.198581"
清迈府·清迈,悟孟寺,3364184172,文化古迹,,热度 0.,"98.951365,18.783792"
兵库县·神户,姬路城,1583371571,文化古迹,,热度 0.,"134.693278,34.842532"
暹粒省·暹粒,比粒寺,2772088880,文化古迹,,热度 0.,"103.921082,13.435234"
仰光,乔达基卧佛寺,2895931234,文化古迹,,热度 0.,"100.4911102,13.7465223"
曼德勒,固都陶寺院,986332289,文化古迹,,热度 0.,"96.113019,22.004255"
槟城,缅佛寺,405518079,文化古迹,,热度 0.,"100.330406,5.414188"
顺化,天姥寺,996466799,文化古迹,,热度 0.,"107.581977844,16.47135"
琅勃拉邦,迈佛寺,3431829720,文化古迹,,热度 0.,"102.134392,19.8927"
阿布扎比,阿布扎比大清真寺,3166891567,文化古迹,,热度 0.,"54.475365,24.421519"
台湾·花莲,庆修院,946039963,文化古迹,,热度 0.,"121.5628123,23.973859"
湖北·荆州·荆州区,宾阳楼,973523888,文化古迹,,热度 0.,"112.222385,30.353953"
特里尔,皇家浴场遗址,2139843915,文化古迹,,热度 0.,"6.6397226,49.7497537"
暹粒省·暹粒,癞王台阶,257978715,文化古迹,,热度 0.,"0.0,0.0"
广西·崇左·凭祥市,大连城白玉洞,2845653429,文化古迹,,热度 0.,"106.776492,22.131225"
四川·绵阳·北川羌城旅游区,北川禹穴沟风景区,2702348142,文化古迹,,热度 0.,"104.26457,31.902348"
安徽·阜阳·迪沟,竹音寺,4101190301,文化古迹,,热度 0.,"116.389416,32.80716"
意大利,弗拉斯卡蒂,343074012,文化古迹,,热度 0.,"12.6254869,41.8262763"
辽宁·沈阳·东陵区,沈阳全健基地水上乐园,2946930112,文化古迹,,热度 0.,"123.627096,41.843439"
江西·上饶·婺源,婺源瑶湾景区,1056817234,文化古迹,,热度 0.,"117.764056,29.278491"
澳门·澳门,岗顶前地,3234277432,文化古迹,,热度 0.,"113.549596,22.195438"
博尔贾,英雄坦克,4036223733,文化古迹,,热度 0.,"116.4418363,50.3832934"
特里尔,卡尔·马克思故居,4083059708,文化古迹,,热度 0.,"6.2534709,49.5255822"
台湾·台中,彩虹眷村,109180769,文化古迹,,热度 0.,"120.6084913,24.1338505"
山东·聊城·东昌府区,中华水上古城,803088123,文化古迹,,热度 0.,"115.970388,36.466968"
北京·北京·石景山区,北京田义墓博物馆,205922855,文化古迹,,热度 0.,"116.164663,39.941118"
暹粒省·吴哥,吴哥寺,1945090022,文化古迹,,热度 0.,"116.2845783,39.809572"
台湾·花莲,庆修院,946039963,文化古迹,,热度 0.,"121.5628123,23.973859"
湖北·宜昌·三峡人家,溪边人家,1242384202,文化古迹,,热度 0.,"111.1671,30.786024"
湖北·宜昌·三峡人家,山上人家,2748390246,文化古迹,,热度 0.,"111.1671,30.786024"
广西·贺州·八步区,贺州客家围屋,3119077151,文化古迹,,热度 0.,"111.664828,24.432778"
河北·承德·双桥区,城隍庙,554739284,文化古迹,,热度 0.,"117.931615,40.992716"
浙江·舟山·朱家尖,乌石塘,1705673935,文化古迹,,热度 0.,"122.4113,29.926918"
内蒙古·呼伦贝尔·鄂伦春旗,鄂伦春布苏里景区,16571520,文化古迹,4A景区,热度 0.,"123.450185,50.567543"
吉林·延边,中国朝鲜族非物质文化遗产展览馆,3517233664,文化古迹,,热度 0.,"129.83891,42.972737"
浙江·绍兴·越城区,蕺山书院,4011682121,文化古迹,,热度 0.,"120.592861,30.015798"
北京·北京·东城区,阙左门（东阙门）,3752303319,文化古迹,,热度 0.,"116.404442,39.91914"
四川·成都·大邑县,道源圣城文化景区,1698214700,文化古迹,,热度 0.,"103.420689,30.637363"
浙江·金华·金东区,琐园国际研学村,2271099788,文化古迹,,热度 0.,"119.823258,29.120087"
江苏·常州·金坛市,茅山金牛洞-元阳观景区,3126773371,文化古迹,,热度 0.,"119.329898,31.78491"
泰国,花宫庙,2191683049,文化古迹,,热度 0.,"98.9921344,18.7885164"
云南·怒江,怒江溜索,1348067863,文化古迹,,热度 0.,"98.869513,25.822695"
暹粒·暹粒,涅槃宫,3758988772,文化古迹,,热度 0.,"103.8927289,13.463308"
暹粒省·暹粒,癞王台阶,257978715,文化古迹,,热度 0.,"0.0,0.0"
湖北·荆州·荆州区,宾阳楼,973523888,文化古迹,,热度 0.,"112.222385,30.353953"
特里尔,皇家浴场遗址,2139843915,文化古迹,,热度 0.,"6.6397226,49.7497537"
西藏·拉萨·城关区,达东盛夏林卡,1441842845,文化古迹,,热度 0.,"91.039127,29.520123"
湖南·湘西·凤凰县,营盘寨,2592761334,文化古迹,,热度 0.,"109.460187,27.934131"
河北·邯郸·临漳县,铜雀三台遗址公园,3319369850,文化古迹,,热度 0.,"114.466345,36.316425"
陕西·西安·长安区,西安二郎山风景区,1511039366,文化古迹,,热度 0.,"109.029139,34.013422"
布杰约维采,捷克布杰约维采,3819047693,文化古迹,,热度 0.,"14.3504644,48.9762677"
安徽·黄山·休宁县,枧潭,3932088169,文化古迹,,热度 0.,"118.16668,29.566888"
海南·陵水,南波湾海洋生态乐园,3273642719,文化古迹,4A景区,热度 0.,"109.979193,18.403286"
新疆·吐鲁番,吐鲁番台藏塔遗址,2688590318,文化古迹,,热度 0.,"89.52734,42.876443"
山东·泰安·徂徕山国家森林公园,龙湾地质公园,158164508,文化古迹,3A景区,热度 0.,"117.36375,36.070036"
浙江·金华·婺城区,寺平古村,1619917982,文化古迹,,热度 0.,"119.358338,29.028909"
陕西·渭南·韩城市,大禹庙,4161040140,文化古迹,,热度 0.,"110.490525,35.489117"
安徽·亳州·毫州市,南京巷钱庄,182169221,文化古迹,3A景区,热度 0.,"115.780733,33.888476"
浙江·金华·磐安县,孔氏家庙,745954431,文化古迹,,热度 0.,"120.557766,28.934922"
贵州·黔西南·安龙县,安龙招堤,1208365450,文化古迹,,热度 0.,"105.484125,25.117268"
浙江·金华·兰溪市,隆丰禅院,1243920822,文化古迹,,热度 0.,"119.307214,29.252717"
山东·泰安·徂徕山国家森林公园,龙湾地质公园,158164508,文化古迹,3A景区,热度 0.,"117.36375,36.070036"
云南·德宏·梁河县,梁河南甸土司衙门,4108887797,文化古迹,4A景区,热度 0.,"98.303695,24.813874"
庞贝,庞贝古城遗址,1173015871,文化古迹,,热度 0.,"14.480985,40.74872"
马德里自治区·马德里,德波神殿,3349819674,文化古迹,,热度 0.,"-3.7199582,40.4240216"
昆士兰·黄金海岸,莱明顿国家公园,1038718904,文化古迹,,热度 0.,"153.149307,-28.202768"
西班牙,悬屋,915991741,文化古迹,,热度 0.,"-2.1452634,40.083897"
安徽·池州·秋浦河,秋浦河漂流,2241301495,文化古迹,,热度 0.,"117.579745,30.19465"
河南·安阳,韩琦庙,3303824734,文化古迹,,热度 0.,"114.307157,36.113178"
江西·上饶·婺源,汪口村,533876010,文化古迹,,热度 0.,"117.997836,29.355467"
贵州·黔东南·凯里市,郎德苗寨,1660726122,文化古迹,,热度 0.,"108.06556376073,26.463210895774"
上海·上海·朱家角古镇,圆津禅院,658709621,文化古迹,,热度 0.,"121.061262,31.116267"
台湾·台北,霞海城隍庙,2751404626,文化古迹,,热度 1.,"121.51010102177,25.055487449152"
陕西·西安·临潼区,鸿门宴遗址,2389153778,文化古迹,,热度 0.,"109.281158,34.420686"
山东·烟台·蓬莱市,蓬莱水城,1374021423,文化古迹,,热度 0.,"120.745738,37.820392"
山西·临汾·吉县,克难坡,3370756891,文化古迹,,热度 0.,"110.484441,36.207758"
福建·漳州·大地土楼群,二宜楼,3472548266,文化古迹,,热度 0.,"117.700892,25.027354"
内蒙古·赤峰·克什克腾旗,曼陀山庄,3163991271,文化古迹,3A景区,热度 0.,"116.757835,43.252012"
山西·运城·永济市,万固寺,3374350403,文化古迹,,热度 0.,"110.373609,34.820966"
山东·烟台·长岛县,大黑山北庄遗址,485679659,文化古迹,,热度 0.,"120.624636,37.972803"
宁夏·银川·兴庆区,南关清真大寺,4255078284,文化古迹,,热度 0.,"106.279249,38.457228"
广西·桂林·灵川县,大圩古镇,2902302490,文化古迹,,热度 0.,"110.433844,25.188242"
卢克索,卢克索神庙,3147947797,文化古迹,,热度 0.,"32.63979,25.7006"
湖南·常德·石门县,夹山国家森林公园,90349431,文化古迹,4A景区,热度 0.,"111.494434,29.568168"
爱丁堡,爱丁堡城堡,1001422318,文化古迹,,热度 1.,"-3.198915,55.948482"
陕西·延安·宝塔区,南泥湾革命旧址,204882123,文化古迹,,热度 0.,"109.677516,36.321241"
台湾·南投,玄光寺,3891709369,文化古迹,,热度 0.,"120.91288064227,23.852249321496"
湖南·长沙·天心区,太平街历史文化街,1579221974,文化古迹,,热度 0.,"112.97754800805,28.199369620534"
河北·张家口·蔚州古城景区,释迦寺,3256618261,文化古迹,,热度 0.,"114.57691391364,39.841462027901"
浙江·杭州·临安市,钱王陵,2778842436,文化古迹,3A景区,热度 0.,"119.732618,30.240511"
内蒙古·锡林郭勒盟·锡林浩特市,贝子庙,2754803152,文化古迹,4A景区,热度 0.,"116.07807032405,43.955461013831"
云南·德宏·瑞丽市,畹町九谷桥,3626098001,文化古迹,,热度 0.,"98.077782,24.086691"
浙江·杭州·桐庐县,琴溪香谷,799238230,文化古迹,,热度 0.,"119.599854,29.961905"
德里国家首都辖区·新德里,红堡,2323228947,文化古迹,,热度 1.,"77.240921,28.656267"
广西·崇左·龙州县,小连城,4103324954,文化古迹,,热度 0.,"106.832019,22.352161"
湖北·武汉·江汉区,古德寺,1757765537,文化古迹,,热度 0.,"114.313132,30.624637"
曼谷,郑王庙,1299859659,文化古迹,,热度 1.,"100.489065,13.743469"
巴黎,枫丹白露宫,2353856290,文化古迹,,热度 0.,"2.696694,48.402511"
四川·阿坝藏族羌族自治州·汶川特别旅游区,映秀地震遗址,1859308319,文化古迹,4A景区,热度 0.,"103.49807,31.063224"
安徽·黄山·徽州区,徽州文化园,9470389,文化古迹,,热度 0.,"118.361077,29.802005"
京都府·京都,南禅寺,643103040,文化古迹,,热度 1.,"135.794432,35.012028"
台湾·花莲,长春祠,3534044342,文化古迹,,热度 0.,"121.60445032684,24.162302549393"
加德满都,斯瓦扬布纳特寺,550276138,文化古迹,,热度 0.,"85.290099,27.714895"
京都府·京都,西本愿寺,1916935711,文化古迹,,热度 1.,"135.751681,34.991408"
北京·北京·东城区,古观象台,866862198,文化古迹,,热度 0.,"116.440635,39.913348"
山东·青岛·市南区,老舍故居,219342339,文化古迹,,热度 0.,"120.331833,36.062504"
北京·北京·东城区,文丞相祠,1677672750,文化古迹,,热度 0.,"116.416589,39.942148"
陕西·延安·宝塔区,王家坪革命旧址,3261395887,文化古迹,3A景区,热度 0.,"109.487156,36.614134"
佛罗伦萨,皮蒂宫,3225157301,文化古迹,,热度 1.,"11.250667,43.764493"
河南·焦作·修武县,净影风景区,637570924,文化古迹,,热度 0.,"113.184538,35.41665"
河内,独柱寺,993536946,文化古迹,,热度 0.,"105.835361,21.035994"
大城府·大城,罗卡雅苏塔寺,4223514297,文化古迹,,热度 0.,"100.552802,14.355675"
福建·福州·鼓楼区,西禅寺,3606461776,文化古迹,,热度 0.,"119.295907,26.080546"
京都府·京都,伏见稻荷大社,3421967205,文化古迹,,热度 1.,"135.773168,34.967183"
江苏·盐城·东台市,海春轩塔,2081079343,文化古迹,,热度 0.,"120.292233,32.822677"
江苏·盐城·东台市,海春轩塔,2081079343,文化古迹,,热度 0.,"120.292233,32.822677"
罗马,西班牙阶梯,1541960284,文化古迹,,热度 0.,"12.482777,41.905951"
京都府·京都,银阁寺,3316784751,文化古迹,,热度 1.,"135.798333,35.026667"
布拉格,布拉格城堡,101927238,文化古迹,,热度 1.,"14.396873,50.089647"
江苏·淮安·盱眙县,铁山寺国家森林公园,997876070,文化古迹,4A景区,热度 0.,"118.483689,32.739871"
香港·香港·离岛,宝莲禅寺,2102517338,文化古迹,,热度 0.,"113.919879,22.258725"
湖南·永州·宁远县,舜帝大庙,882840036,文化古迹,,热度 0.,"111.982304,25.353479"
陕西·咸阳·礼泉县,唐昭陵,2448087962,文化古迹,,热度 0.,"108.494695,34.638566"
爱丁堡,格拉斯广场,1646548093,文化古迹,,热度 1.,"-3.197364,55.947249"
布拉格,圣维塔大教堂,3011914676,文化古迹,,热度 0.,"14.403225,50.087936"
清迈府·清迈,清曼寺,1206774226,文化古迹,,热度 1.,"98.987115,18.786961"
云南·德宏·芒市,树包塔,3133489018,文化古迹,,热度 0.,"98.591018,24.440986"
阿格拉,泰姬陵,3310154420,文化古迹,,热度 0.,"78.041669,27.172774"
河北·邯郸·邯郸县,圣井岗旅游景区,3599906993,文化古迹,,热度 0.,"114.411817,36.656525"
辽宁·葫芦岛·绥中县,九门口长城,904058728,文化古迹,4A景区,热度 0.,"119.757809,40.123709"
维也纳,美泉宫,606306285,文化古迹,,热度 0.,"16.314858,48.185645"
湖南·永州·宁远县,舜帝大庙,882840036,文化古迹,,热度 0.,"111.982304,25.353479"
陕西·咸阳·礼泉县,唐昭陵,2448087962,文化古迹,,热度 0.,"108.494695,34.638566"
爱丁堡,格拉斯广场,1646548093,文化古迹,,热度 1.,"-3.197364,55.947249"
布拉格,圣维塔大教堂,3011914676,文化古迹,,热度 0.,"14.403225,50.087936"
清迈府·清迈,清曼寺,1206774226,文化古迹,,热度 1.,"98.987115,18.786961"
河北·邯郸·邯郸县,圣井岗旅游景区,3599906993,文化古迹,,热度 0.,"114.411817,36.656525"
辽宁·葫芦岛·绥中县,九门口长城,904058728,文化古迹,4A景区,热度 0.,"119.757809,40.123709"
约克,克利福德塔,251607289,文化古迹,,热度 0.,"-1.079518,53.95608"
福建·龙岩·永定土楼群（福建客家土楼）,中川古村落,913981110,文化古迹,,热度 0.,"116.821461,24.596598"
河内,巴亭广场,1258672277,文化古迹,,热度 1.,"105.836,21.037257"
云南·德宏·芒市,树包塔,3133489018,文化古迹,,热度 0.,"98.591018,24.440986"
阿格拉,泰姬陵,3310154420,文化古迹,,热度 0.,"78.041669,27.172774"
布拉格,旧城广场,2050574650,文化古迹,,热度 0.,"14.4189987,50.0875692"
浙江·金华·金东区,艾青故居,2789752863,文化古迹,,热度 0.,"119.886852,29.263019"
湖南·怀化·通道县,芋头古侗寨,1320188548,文化古迹,3A景区,热度 0.,"109.879978,27.534915"
四川·阿坝藏族羌族自治州·汶川县,卧龙镇,2717038815,文化古迹,,热度 0.,"103.15508151942,31.145526736707"
湖北·咸宁·九宫山,瑞庆宫,237916018,文化古迹,,热度 0.,"114.718215,29.45729"
江苏·苏州·同里古镇,崇本堂,1980807760,文化古迹,,热度 0.,"120.717585,31.158238"
四川·广安·邓小平故里,邓小平故居陈列馆,1066593381,文化古迹,,热度 0.,"106.64377612708,30.526549982048"
浙江·台州·临海市,临海古城,2317619975,文化古迹,,热度 0.,"121.122339,28.851287"
江苏·盐城·射阳县,息心寺,3300621717,文化古迹,3A景区,热度 0.,"120.348313,33.794136"
甘肃·酒泉·敦煌市,河仓城,1236908897,文化古迹,,热度 0.,"94.078004520326,40.4767422316"
清迈府·清迈,素贴寺,3486117897,文化古迹,,热度 0.,"98.921889,18.805308"
湖南·湘西·凤凰古城,熊希龄故居,3929019852,文化古迹,,热度 0.,"109.608475,27.955242"
安徽·池州·仙寓山,富硒村,2165719300,文化古迹,,热度 0.,"117.386473,30.030586"
广东·肇庆·封开国家地质公园,黄岩洞陈列馆,1796851213,文化古迹,,热度 0.,"111.551521,23.328246"
浙江·嘉兴·乌镇东栅,修真观,3607449586,文化古迹,,热度 0.,"120.500256,30.747759"
暹粒省·吴哥,十二生肖塔,2744977279,文化古迹,,热度 0.,"103.860546,13.446762"
马德里自治区·马德里,马德里皇宫,3527937073,文化古迹,,热度 0.,"40.417972,-3.714262"
大阪府·大阪,心斋桥,991131708,文化古迹,,热度 1.,"135.43,35.65"
云南·丽江,里务必岛,3105004412,文化古迹,,热度 0.,"102.69807613237,25.04762149172"
吉隆坡,独立广场,3853960764,文化古迹,,热度 0.,"101.6867,3.1427"
蒲甘,阿南达寺,999180534,文化古迹,,热度 0.,"94.8657576,21.1711061"
克鲁姆洛夫,克鲁姆洛夫城堡,2484927385,文化古迹,,热度 0.,"14.315139,48.812982"
陕西·西安·莲湖区,回民街,3506656671,文化古迹,,热度 0.,"108.94363,34.26187"
台湾·台南,安平古堡,3670338724,文化古迹,,热度 0.,"120.16035763657,23.002633623297"
浙江·舟山·普陀山,佛顶山,779662879,文化古迹,,热度 0.,"122.39241,30.002568"
四川·甘孜州·甘孜县,海子山,1637855182,文化古迹,,热度 0.,"98.998325,32.048681"
河内,龙山寺,1224143635,文化古迹,,热度 0.,"109.196965,12.245094"
陕西·商洛·柞水县,终南山秦楚古道,155053568,文化古迹,,热度 0.,"109.044617,33.790341"
安徽·宣城·泾县,黄田古民居,2484349621,文化古迹,,热度 0.,"118.505323,30.46432"
安徽·安庆·桐城市,嬉子湖,2228377542,文化古迹,4A景区,热度 0.,"117.068917,30.800909"
云南·西双版纳·勐海县,西双版纳茶马古道景区,3593605843,文化古迹,4A景区,热度 0.,"100.438639,21.99484"
重庆·重庆·丰都县,鬼城天堂——玉皇圣地景区,1447844183,文化古迹,,热度 0.,"107.711605,29.883055"
广东·佛山·三水森林公园,三水森林公园孔圣园,1879349572,文化古迹,,热度 0.,"112.885658,23.193634"
陕西·西安·未央区,汉城湖,2927368984,文化古迹,,热度 0.,"108.926482,34.326205"
福建·龙岩·高北土楼群（永定土楼）,五云楼,4126546711,文化古迹,,热度 0.,"117.016456,24.666634"
浙江·金华·兰溪市,芝堰村,3363854522,文化古迹,,热度 0.,"119.361914,29.36567"
台湾·台南,大天后宫,1487515577,文化古迹,,热度 0.,"120.19511717875,22.991446964779"
福建·泉州·丰泽区,东湖公园,912950044,文化古迹,,热度 0.,"118.612516,24.916019"
山西·临汾·尧都区,仙洞沟风景名胜区,36942307,文化古迹,,热度 0.,"111.360532,36.165536"
山东·淄博·博山区,莲花山风景区,1348141606,文化古迹,,热度 0.,"117.901893,36.524577"
河南·南阳·西峡县,西峡寺山国家森林公园,3182504305,文化古迹,,热度 0.,"111.467709,33.28982"
湖南·岳阳·平江县,杜甫墓,3494430727,文化古迹,,热度 0.,"113.625979,28.59436"
山东·滨州·惠民县,武圣园,4047042745,文化古迹,3A景区,热度 0.,"117.504485,37.501661"
辽宁·朝阳·双塔区,北塔博物馆,2784762799,文化古迹,,热度 0.,"120.469029,41.588837"
四川·南充·阆中市,天宫院风水文化景区,236943313,文化古迹,4A景区,热度 0.,"105.86957,31.461865"
贵州·黔南·荔波县,瑶山古寨旅游区,4081465974,文化古迹,3A景区,热度 0.,"107.776805,25.237277"
新疆·吐鲁番·吐鲁番市,阿斯塔那古墓群,1832309791,文化古迹,,热度 0.,"89.537959,42.888903"
广东·佛山·三水森林公园,三水森林公园孔圣园,1879349572,文化古迹,,热度 0.,"112.885658,23.193634"
陕西·西安·未央区,汉城湖,2927368984,文化古迹,,热度 0.,"108.926482,34.326205"
